,clean_por_que_pelota_que_canta,clean_explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,clean_que_otra_cosa_podria_ser_una_pelota_de_pelos,clean_explica_tu_respuesta_en_la_frase_pelota_de_plata,clean_c1t,clean_c2t,clean_c3t,clean_c4t,clean_c5t,clean_c6t,clean_que_significa_1,clean_por_que_crees_que_si_o_no_es_posible_1,clean_que_significa_2,clean_por_que_crees_que_si_o_que_no_es_posible_2,clean_que_significa_3,clean_por_que_crees_que_si_o_que_no_es_posible_3,clean_que_significa_4,clean_por_que_crees_que_si_o_que_no_es_posible_4,clean_que_significa_5,clean_por_que_crees_que_si_o_que_no_es_posible_5,clean_que_significa_6,clean_por_que_crees_que_si_o_que_no_es_posible_6,clean_que_significa_7,clean_por_que_crees_que_si_o_que_no_es_posible_7,clean_que_significa_8,clean_por_que_crees_que_si_o_que_no_es_posible_8,clean_que_significa_9,clean_por_que_crees_que_si_o_que_no_es_posible_9
402,porque no tiene vida la pelota,que se la pasa gritando,un perro o gato,porque el cerebro se considera la parte r�gida y coherente del ser humano,duro feo etc,son bonitos brillantes blancos,tierna cari�osa,falsa,ya paso,todo mejorara,focos,si porque se pueden usar como adornos,son elegantes,porque se pueden vestir as� o en el producto y el material,que se deshacen f�cilmente,porque la miel no es un solido por lo que se expandir�a todo,que no cambia de expresi�n,si ya que las esculturas est�n hechas de piedra,que es muy duro,no porque nadie puede tocar el alma y mucho menos poner un material como ese,que te sientes acompa�ado,no porque no puede darte calor,que ya esta ah�,porque no puede caminar,que hacen ejercicio los atletas espec�ficamente correr,si porque tu te mueves y corres mas los atletas,que se termina tu tiempo,no porque el tiempo no puede venir y ya
403,las pelotas no hablan,tal vez que siempre esta corriendo o no se esta en paz,una bola de pelos,pelota gris,rasposo sucio,blancos bonitos y brillantes,linda,linda,se paso,que hay muchas veces que tendremos buenos momentos,estrellas,por que no puede ver estrellas de cristal,una tela cortada en forma de vestido,por que si hay vestidos de tela,zapatos hechos de miel,por que es il�gico que haya zapatos de miel,una estatua echa de piedra,por que si hay estatuas echas de piedra o roca,como alguien muy fuerte,por que las personas si pueden ser muy fuertes,que una banqueta abriga o como que te cuida,por que las banquetas no pueden hacer eso,tal vez que la silla es nueva,por que si hay sillas nuevas,que hacen ejercicio,por que los atletas corren,si el tiempo alcanza,por que hay veces que si alcanza
404,porque las pelotas no cantan,porque esta chiquito grita mucho,el perro,que la pelota le gustan las plantas,por que tu cabello esta muy limpio,que tus dientes son muy blancos,que mi hermana es muy tierna con mijo,que tu sonrisa me congela,pues cosas,que como te fue mal apoyas a tus amigos que te puede ir mejor ma�ana,que tu eres mi estrella que me alumbra todos los d�as y nunca me guardas secretos,yo dijo que no porque las estrellas no pueden ser de cristal,que el vestido de tela se ve muy elegante,porque la mayor�a son de tela,que tu me endulzas mucho con tus palabras,porque tu zapatos no pueden ser de miel,que tu eres como una estatua porque no hablas y no te mueves mucho,porque la estatuas son de piedra,que tu no tienes coraz�n y que no piensas lo que dices,porque alguna gente su coraz�n es de piedra,que tengas cuidado,porque si,que cuando una persona llego a la fiesta,por que si,que las personas corren para lograr sus metas,por que algunos aletas corren no son todos,que el tiempo es suficiente para hacer lo que te gusta,porque para todo te alcanza
405,puede ser alguien gordo que canta,que tu hermano no para de gritar y es un escandaloso,un perro,por que el cristal brilla como la plata,muy �spero feo rasposo,blancos bonitos y brillosos,tierna buena onda,falsa,amaneci� y ahora ya esta el sol,todo mejorar� no te preocupes,que la estrella brilla mucho,todas las estrellas brillan en la noche,que el vestido es suave,por que lo mas com�n es hacer un vestido de un material suave tela,que los zapatos son brillosos y de un color amarillento como el de la miel,por que si existen eso colores,que la escultura es demasiado solida y dura,por que todas las esculturas deben ser de materiales duros piedra,una persona que no es sensible,por que hay personas que no son muy sensibles y lloran muy poco,que la banqueta te tapa del sol te protegen de los autos,por que la banqueta es para caminar y estar seguro de los autos,alguien que le guste estar mucho sentado llego,por que hay personas que no les gusta estar sentados,que los atletas hacen bien su trabajo que es correr,por que si eres atleta obviamente corres,que toda v�a tiene tiempo restante y puedes hacer algo mas,por que si te apuras tienes tiempo restante
406,te puede encantar porque es llamativa,que es un ni�o muy grit�n,un gato porque se parece mucho al perro,el es alguien muy brillante,el cabello es de un color verde y es puntiagudo,los dientes son blancos y llamativos,mi hermana es buena persona,la sonrisa es bonita,en la noche paso algo triste,que han pasado cosas malas pero pasaran cosas buenas,las estrellas brillan como un cristal,si porque las estrellas miran como los cristales,los vestidos son de tela,si porque la ropa esta hecha de tela,zapatos pegajosos,no porque te pudieras resbalar,algo de arte,si porque la piedra es dura,alma fuerte,si porque puede ser un alma fuerte,una parte que te abriga,no porque no te puede abrigar,que ya hay un lugar,si ya desocupo,los atletas son r�pidos,si porque tienen mucha fuerza para correr,que todo alcanza,si porque para todo hay tiempo
407,cuando la pelota rebota y hace ruido,es un ni�o muy grit�n,un animal,pelota fina,cabello corto,dientes blancos,linda persona,sonrisa falsa,que esa noche ya paso,que vendr�n d�as mejores que los anteriores,una estrella muy fr�gil,porque es como una met�fora,vestidos hechos de tela,porque es el material con el que se hace,zapatos dulces,porque serian muy pegajosos,estatua,porque es una estatua,coraz�n muy duro,porque hay personas con dif�cil sentimientos,banqueta que te cubre de la lluvia,porque me ha pasado,0,porque la silla no puede caminar,que a eso se dedican,porque es un deporte,el tiempo si te da tiempo para hacer cosas,si porque hay 24 horas
408,porque ocupan la palabra pelota como una met�fora,su hermano grita todo el tiempo y es una pelota porque se esta ocupando como una alternativa,una bola de pelos literalmente un perro o cualquier animal,siempre coparan a la luna como un circulo pateado y muy brillante y se puede sacar la respuesta a trav�s de observar lo dem�s,muy enredado y maltratado,blancos y brillantes,cari�osa y alegre empalagosa,una sonrisa fingida y fr�a,algo de lo que no se quieren acordar o simplemente ya es de d�a,que han sido tiempos desfavorables,estrellas hechas de vidrio o cristales,si es posible porque puede ser un adjetivo pero tambi�n un sustantivo,una prenda vestido elaborado con tela,la mayor�a de los vestidos son de tela,que los zapatos est�n pegajosos,porque no pueden ser literalmente de miel mas se puede ocupar como una expresi�n,muchas esculturas est�n hechas de piedra ya que es un solido modificable,desde la antig�edad muchas de las estatuas est�n hechas con este material,que no tiene sentimientos o es muy fuerte,no existe f�sicamente mas puede ser una met�fora,se puede ocupar como una met�fora,las banquetas no pueden abrigar,una silla es un objeto que no puede llagar por si solo tiene que ser transportado por algo vivo,es un objeto,la mayor�a de los atletas tiene que correr para el deporte que realizan,los atletas corren,que te de tiempo de hacer muchas cosas o utilizar tu tiempo o que ya estas muy viejo,si puede pasar mas no literalmente como una met�fora
409,ninguna pelota hasta la actualidad puede cantar,mi hermano es muy escandaloso,un gato,una pelota conformada con plata,creo que se refiere al cabello maltratado,dientes muy brillantes y lindos,una hermana compresiva y que te apoya,una sonrisa falsa,una noche que no se quiere recordar,en el futuro pasaran cosas mejores,estrella que esta compuesta de cristal,no creo que sea posible porque suena a algo ficticio,un vestido hecho de tela,si es posible porque en la vida real si existen y se est�n usando mucho,zapatos compuestos de miel,no es posible porque no pueden haber zapatos de miel y si los hubieran a mi parecer serian muy inc�modos,escultura compuesta hecha con piedra,si es posible porque ya ha sido implementada en varias ocasiones y se han hecho varias esculturas con piedra,persona que tiene mucho valor de hacer las cosas y tiene un alma muy dura como el hierro,si es posible porque no a todos les podemos decir que tiene un alma de hierro y ademas ya existe esa expresi�n,te hace sentir protegido,porque te va a hacer sentir con mas confianza en ti misma,que la silla ya llego llego tu pedido,si es posible porque pudiste haber pedido una silla y si te la trajeron,hombre o mujer que le gusta correr,si es posible porque ya existe y hay hasta competencias de atletismo,es cuando te preguntas si el tiempo te alcanzara,a veces puede que si sea posible si planeas bien tu d�a
410,porque depende del movimiento que hagas y emite un sonido,que a cada rato esta gritando,una pelota de cabello,si una pelota de fuego es el sol la de plata es la luna por ser blanca,blancas y esponjosas,suave,muy expresiva,ojos de tristeza,aumenta el calor,regalos,cuando no te lastima nada y tampoco sientes nada,porque es una expresi�n pero literalmente no es posible,una hoja doblada para que adentro pueda venir otra hoja con texto,porque utilizamos el sobre para poder poner hojas con texto y no se arruguen,d�as con pasto,porque no se puede hacer f�sicamente,un pedazo de carb�n caliente,porque puede estar caliente,que estas triste y te expresas con la mirada,por las expresiones,que puede estar suave,porque puede estar suave la calceta,porque una cebolla no puede llegar por si sola,que no porque necesita todo un proceso para que pueda crecer o darse,que vuelan,porque es de su naturaleza volar,que ya se acabo el d�a,que si porque la luz del sol se va ocultando
411,se refiere a alguien que canta,que grita mucho,un perro,se refiere a la luna,0,muy delicada,una mirada comprometedora,mirada fea,que llegara pronto,que ya esta aqu� la navidad,piernas muy fuertes,si es posible porque la frase no es literal es una met�fora,es doblar una hoja de papel hasta formar un sobre,es posible porque al doblar la hoja de forma correcta se forma un sobre,el calendario de cuando regar el pasto,es posible porque se usa para saber en que momento se debe regar el pasto,que esta muy caliente,porque al prender fuego con el carb�n se pone muy caliente,mirada fea,porque no es literal se usa para referirse a cuando la persona tiene una fea mirada,0,no es literal es met�fora,0,porque no es una frase literal,que el animal puede volar,porque ese animal si vuela,que la noche ya esta aqu�,porque en alg�n momento del d�a llega la noche
412,por las pelotas no hablan,por que no se calla,un gato,por que la luna es gris,espuma,piel muy suave,mirada matadora,cunado te mira con amargura,Danna la de alado se quema,que el a�o casi se va acabar,que tiene piernas fuertes,por que si haces mucho ejercicio tus piernas est�n fuertes,que con un papel haces un sobre,por que con un papel haces un sobre,0,tal vez no se puede hacer un calendario de zacate,que el carb�n se esta quemando,por que el carb�n esta muy caliente,que tiene ojos enojados o secos,por que es una expresi�n,una calceta gris,por que hay calcetas de muchos colores,que alguien que llora llego,por que las cebollas hacen llorar a las personas,que los p�jaros suelen volar,por que estos animales est�n dise�ados para volar,que ya se hizo de noche,por que el planeta tierra esta en constante rotaci�n por lo que llega la noche
413,por que las pelotas no cantan,que tu hermano grita mucho,un cachorro o un h�mster,hay esferas de plata,blancas y esponjosas,suave,penetrante,obscuros,esta por llegar,ya es navidad,que tienes piernas fuertes,por que hay personas que tienen piernas fuertes que parecen acero o por que hay gente con sustituciones de piernas de acero,que hay sobres hechos de papel,por que ya existen sobres que est�n hechos de papel,0,por que con el material no se puede hacer un calendario,que el carb�n arde,por que el carb�n lo ponen en fuego,ojos obscuros y con un alma lastimada,por que e visto a personas con esos ojos,calceta color plata,por que yo tengo calcetas color plata,que estas a punto de llorar,por que con la cebolla te da ganas de llorar y es como una met�fora,que tiene alas,por que yo e visto a gaviotas volar,que lo profundo sentimientos siempre llegan al final del d�a,por que me a pasado
414,cuando la botas hace un sonido que puede ser interpretado como cantar,que grita mucho,una pelota de tenis,que se puede interpretar como la luna,blancas,suave,fuerte,decepcionados,llega el calor,que ya llego el esp�ritu festivo,piernas de acero,puede ser,lugar para guardar las cartas,si ya existen,que es un calendario de zacate,0,fogata,si ya existe,ojos decepcionados,si,una calceta de plata,puede ser,que llega,no,que vuelan,si,que se hace de noche,ya se hace de noche
415,es una met�fora de algo o alguien que canta,su hermano solo grita,un perro,es una met�fora por la forma y el color de la luna,blancas,suave,una mirada muy candente o muy coqueta,que su expresi�n no es muy amable,esta por llegar,que estamos en temporada de navidad,metaf�ricamente pueden ser piernas muy duras tonificadas y literalmente puede ser una pr�tesis,avances de la ciencia,el sobre de las cartas,porque ya existe,tienes un control de cuando lo usas,podemos hacerlo,si,cuando haces carne al carb�n este se calienta,que su mirada no es muy dulce o gentil,es una reacci�n natural de nuestro cuerpo cuando algo no nos agrada,se refiere al color de las calcetas,porque es un a met�fora,0,la cebolla no puede llegar a un lugar,que es un animal que puede volar,las he visto,que pronto llegara la noche,porque siempre llega
416,cuando bota,esta lleno de gritos,animales,porque es blanca con gris y brilla la plata es mas o menos as�,blancas,suave,intensa,profundos,calor y vacaciones,regalos convivencia familiar,muy fuertes,porque no lo imagino literalmente sino busco otro significado,carta,porque existen,0,0,carb�n,porque existen la fogatas,molesto,porque luego me siento as�,muy cara,porque existen,0,0,que vuelan,porque vuelan y yo las he visto,que se acaba el d�a,porque todos los d�as se hace de noche
417,por que hace sonido al rebotar,llora o grita mucho,un oso,la luna es circular y dorada y parece una pelota,esponjosas y blancas,suave y lisa,una mirada que puede enamorarte o asustarte,adormilados,no hay escuela,frio y regalos,que tienes piernas muy fuertes,por que si te ejercitas se hacen duras,un sobre para guardar dinero,por que los he visto,un tipo de pasto,por que no se pude escribir en un zacate,que se puede calentar el carb�n,por que se utiliza en las chimeneas,que tienes ojos tristes,por que hay personas que se nota en sus ojos que est�n tristes,una calceta de decoraci�n,por que puede haber una calceta de decoraci�n,que llega del supermercado a tu casa,por que se mueve de un lugar a otro si tu la transportas,que este tipo de p�jaro si vuela,por que si vuela,que en alg�n momento se acaba el d�a y la noche llega,por que el d�a se va y la noche llega
418,describe a la mama,describe como es el hermano quiere decir que grita mucho,un gato o una bola de pelos,luna por que su color es muy brillante como la plata,esponjosas de muchas formas traen lluvia y nieve,sedosa,seductora y bonita,una mirada fea con un significado o algo que te quieran decir,hay lluvia abundante hace mucho calor y hay muco sol,un a�o nuevo lleg� el invierno llego el frio llego,que tienes una pierna de acero metal,cuando alguien pierde una extremidad,un sobre es una cubierta de papel para meter cartas dinero o documentos,cuando alguien le escribe a una persona o tienes que entregar dinero o documentos,un calendario hecho con zacate material,para tener un calendario en las �pocas antiguas no exist�a el papel y existi� el zacate,un carb�n muy caliente,cuando haces una fogata o lo pones en una asadora para asar comida,una mirada fea o cuando alguien no le caes bien o le hiciste algo es muy vac�a,cuando alguien te hizo algo o quieres decirle algo y que se sienta mal,una calceta que esta hecha de plata metal,no por que no existen o serian muy duras para que alguien las utilice,que una cebolla llega a un lugar,no por que una cebolla no tiene extremidades y no esta viva,que las gaviotas pueden mover sus extremidades y sin necesidad de utilizar tecnolog�a y puede volar,por que existen las gaviotas y vuelan,que la oscuridad a llegado es hora de que las personas descansen,por que la luna siempre llaga y la oscuridad tambi�n
419,que siempre canta o que siempre trae alegr�a,que solo grita mucho,los pelos que a los perros se le caen,que es de plata,blancas,suave,fingida,oscuros,hace mucho calor,que ya es navidad o que las personas ya empezaron a decorar sus casas,que tienes fuerza en las piernas,por que es solo un dicho,que es un sobre de papel para poner cartas,porque es una cosa existente,0,porque nunca lo hab�a escuchado antes,que esta muy caliente,porque me suena,que sus ojos est�n de un color oscuro,porque si,0,porque no tiene sentido,0,porque no tiene sentido,que las gaviotas vuelan,porque si vuelan,que ya se esta haciendo de noche,porque la noche llega en alguna parte del d�a
420,el sonido de la pelota,que grita mucho,mi perro,que es la luna,nubes blancas,piel delicada,mirada comprometedora,mirada fea,se acerca,que la navidad ya esta aqu�,piernas muy fuertes,porque no es literal,hay sobres de otro materiales,porque puede haber sobres de papel y de otros materiales,0,0,carb�n caliente,porque puede estar caliente o no,mirada fea,porque hay gente que tiene una mirada particular,valiosa,0,0,0,animales que vuelan,porque son aves,llego la noche,cuando ya se oscurece
421,es una met�fora la pelota en realidad es su mama,que su hermano menor grita mucho,tener mucho pelo,porque es la luna,cuando las nubes est�n pesadas,suave,seductora,enojados,ya va a empezar la �poca de verano,que ya esta nevando,que tiene piernas fuertes,si porque la frase es solo una met�fora,que escribes sobre el papel,no porque escribes en el papel no sobre,porque el zacate cambia de acuerdo a las estaciones del a�o,si porque es la temporada seca,fuego muy intenso,si porque es cuando el fuego se intensifica,que esta serio o enojado,porque es una expresi�n,calceta de color platinado,si porque existen las calcetas de color platinado,que alguien que esta llorando llega,si porque es una met�fora,pues que vuela las gaviotas,si porque es su naturaleza,que anocheci�,si porque es una expresi�n
422,porque las pelotas no cantan,que esta lleno de gritos listos para salir,alg�n animal,las monedas son redondas y plateadas,blancas,suave,penetrante,vac�os,esta listo para llegar al mundo,que empieza navidad,que tiene piernas fuertes,porque hace ejercicio,algo donde guardas alguna carta para mandarlas,porque los he hecho,ni idea,no creo que exista alguno as�,que esta caliente,porque lo he visto,feos sin vida vac�os,porque los he visto,ni idea,como que no creo que sea posible pesar�a mucho,0,pues porque una cebolla no puede llegar por si sola a ning�n lado,que pueden volar,porque es su biolog�a,que se hace de noche,pues porque eso pasa eventualmente
423,porque las pelotas no cantan,que esta molestando,un gato,valiosa,esponjosas,suave,mirada fuerte,llorosos,hay calor,santa Claus o regalos,puede ser una pr�tesis,porque puede ser una pr�tesis,es fr�gil,porque aun as� se guardar�an papeles,0,0,que el carb�n esta prendido,siempre es posible,triste,no lo se,caro,no se pero no se podr�a poner,las cebollas no llegan,0,ese animal vuela,porque si pasa,que la noche perfecta llegara,porque me ha pasado
424,porque cuando rebota puede emitir un sonido,que es muy escandaloso o ruidoso,un animal con muchos pelos o un peluche,cuando la luna llena esta brillando parece una pelota de plata brillante,esponjosas y lindas,suave y brillante,mirada sexy o sensual,una mirada fea y de mala intenci�n,mas tiempo libre en el d�a,que una festividad muy importante ya va a comenzar a ser festejada,piernas fuertes,yo digo que si es posible porque si alguien corre mucho tiene piernas muy fuertes y hay una expresi�n que dice piernas de acero,es como una carpeta,porque es un sobre de papel puedes llevar documentos dinero dibujos entre otras cosas,no se que es,digo que no porque no entiendo que funci�n tienen un zacate en un calendario,que el carb�n esta muy caliente,digo que si porque cuando tu haces parrilla y terminas con el carb�n este estaba muy caliente,una muy fea mirada,porque cuando alguien te mira feo hay una expresi�n que dice que ojos tan amargos,una calceta de un calcio,yo digo que no porque aun no la he visto,no entiendo la expresi�n,digo que no porque no entiendo la pregunta,un tipo de aves pueden volar,yo digo que si porque ese tipo de p�jaros si es real,cuando oscurece,yo digo que si porque como a las ocho empieza a oscurecer
425,porque una pelota no puede cantar,porque tal vez tu hermano es un grit�n y es lo �nico que hace,un perro,porque la luna tiene como color de plata y es al vez muy valiosa,que las nubes son suaves y claras,que la piel es suave y lisa,que tiene una mirada furiosa y enoj�n,que son de color negro los ojos,que el verano siempre va a llegar aunque no lo quieras,que el tiempo paso muy r�pido que ya hace un a�o est�bamos en navidad y pues llego r�pido,que son muy fuertes,porque hay personas que pueden tener las piernas demasiado fuertes,que puedes literal hacer un sobre hecho de papel,porque es f�cil hacer un sobre de papel y luego lo reciclas,0,0,porque cuando un material que se puede calentar se quema se pone muy ardiente,porque el carb�n cuando se calienta se pone muy caliente y quema,que no expresa mucho su mirada,porque alguien puede tener la mirada muy simple y no dice nada con ella,que la calceta resiste mucho y que vale mucho,no es posible tener una calceta de plata porque estar�a imposible caminar en ello,tal vez que su olor llega a muy lejos de distancia,porque la cebolla esta como dise�ada a llegar el olor lejos,que las aves vuelan,porque todos los p�jaros vuelan incluyendo a las gaviotas,que los d�as pasan muy r�pido y llega la noche muy r�pido,porque los d�as pasan sin que tu los controles
426,porque una pelota no puede cantar,significa que es una persona que grita demasiado,un perro,a veces se dice la expresi�n de que la luna esta hecha de plata y ya que es redonda tendr�a sentido que llam�ramos a la luna una pelota de plata,blancas,suave,sexy,tristes o enojados,hay mucho sol,ya es invierno y es la �poca navide�a,que alguien tiene piernas muy fuertes,porque muchas personas tienen piernas fuertes y duras,un sobre hecho de papel,porque existen sobres de papel,0,porque no le veo ning�n sentido a calendario de sacate,que el carb�n esta muy caliente,porque el carb�n sirve para prender fuego esto significa que puede llegar a estar muy caliente,que alguien te mira con ojos negativos,muchas personas echan miradas con ojos amargos y con mala vibra,una calceta hecha de hilo de plata,porque se puede llegar a hacer,cuando partes una cebolla y lloras,porque es algo que normalmente pasa cuando partes una cebolla,que las gaviotas est�n volando,porque las gaviotas son aves que vuelan,que se esta o ya se hizo de noche,porque la noche es algo que esta todos los d�as
427,se refiere a una persona que canta,significa que su hermano es muy escandaloso,un animal o mascota,es pap� porque es el que controla la casa,de gas y blancas,suave,mirada fija,claros obscuros,hay vacaciones,los regalos llegaron,piernas muy fuertes,si porque puedes hacer mucho ejercicio y lograr tenerlas muy fuertes,un sobre hecho de papel,si porque ya existen estos sobres,un calendario hecho del material del zacate,no porque la textura del zacate no puede servir para las im�genes y las impresiones,carb�n que esta muy caliente,si porque el carb�n llega a temperaturas muy altas,ojos muy oscuros,si porque hay personas que tienen ojos muy obscuros,calceta hecha de plata,si porque puedes hacerlas con la plata derretida,que alguien llegue y huela muy mal,si porque hay personas que huelen muy mal,las gaviotas pueden volar,si porque las gaviotas tienen un mecanismo que les permite volar las alas,la tarde se acabo y empieza la noche,si porque cuando la tarde se acaba el sol se oculta y sale la luna cuando sale la luna significa que empieza la noche
428,por que no es literal,se refiere a que su hermano siempre grita,un h�mster,por que siempre dicen que la luna es de plata,fr�gil,que sean del color,sin sentimientos,que enamora,que pasan cosas que hacen que se te pase lento el tiempo,que te la pasas tan bien que pierdes la noci�n del tiempo,que son de ese color o que tiene la mirada muy dulce,pues es una met�fora pero si hay personas que los tienen de ese color,pues literal un collar de perlas,si es posible por que ya existe,algo tan com�n que puede convertirse en algo importante,pues no es posible por que si es de cristal no podr�as limpiar,pues comida salada,si es posible por que hay comida salada y dulce,son abrazos que te hacen sentir calma,si es posible por que cuando una persona te quiere te da ese tipo de abrazos,por que todo tiene sabor color y olor por mas m�nimo que sea,si por que sabe a madera,que los hornos est�n cerca,los hornos no se acercan tu te acercas al horno,para eso son los trenes,si es posible por que ya viajan los trenes,es una met�fora que el tiempo pasa volando,si por que lo he vivido
429,se refiere a que alguien canta,que su hermano grita mucho,el cabello,por que la anterior dec�a que era el sol entonces lo contrario del sol es la luna,que es seca,sen los girasoles,sin sentimientos,que esta fingida,tarda mas tiempo,que el tiempo pasa r�pido,que son amarillos y dulces,por que se refiere a que tiene ojos bonitos,que esta hecho de perlas,por que son hechos por perlas,que es delicada,por que se puede romper,que no es dulce,por que es comida que tiene sal,que dura mucho tiempo y es tierno,por que as� se le llama a los abrazos que son con amor,que no tiene punta,por que no peine el como escribir,ni idea,no me importa,que el tren esta en movimiento,por que se refiere a que esta movi�ndose,que pasan muy r�pidos,por que se dice cuando sientes que pasa r�pido
430,las pelotas no cantan en todo caso seria una met�fora,que su hermano grita mucho,un animal,porque lo primero que se me viene a la cabeza seria un anillo de plata,arrugada,hermosas y valiosas,sin sentimientos,delicada,es muy aburrido,el tiempo pasa muy r�pido,claros,por que es una met�fora refiri�ndose a claros,que el collar esta hecho de perlas,porque si existen los collares de perla,que son muy delicadas,no es posible solo se refiere a que son muy delicadas,que no sabe bien porque esta muy condimentada,si es posible porque suele pasar,que son abrazos dulces,porque yo los daba,que no es llamativo,no es posible por que no existe,que hace mucho calor,no se mueven es solo una met�fora,que tiene distintos destinos,porque lo he visto,pasan muy r�pido,no es posible porque todos son iguales
431,la figura humana no tiene forma de esfera,que al ser peque�o llora y grita mucho,un gato,si el sol es una pelota de fuego ya que es caliente la luna tiene apariencia plateada en la noche,fr�gil,de mucho valor,sin sentimientos,muy grande,se hace eterno,el tiempo pasa muy r�pido,que ves todo muy meloso o por el color,porque hay alguien que lo puede tomar literal y otras que lo toman como met�fora,hay collares hechos de perlas,porque no todos los collares son de perlas,que una escoba esta echa de cristal,porque no se puede limpiar con cristal,la comida contiene sal o no es un postre,porque la comida dulce y la salada existen,un abrazo no tan apretado,hay abrazos muy fuertes y otros que no,los lapices no son algo que se pruebe,porque los lapices no se comen,que se aproximan,porque no caminan ni se mueven,que se mueve y viaja a otros lugares,porque es un medio de transporte,los d�as pasan,porque el tiempo pasa y hace que los d�as acaben
432,porque se refiere a que su mama canta,que grita mucha probablemente porque es menor,mi perro,que la luna es de color gris y brilla ligeramente en la noche,lisa,doradas o amarillas,que no tienen sentimientos,una sonrisa ligera,se pasa muy lento pero en si no le ocurre nada,que el tiempo pasa muy r�pido,que son color miel,porque es imposible tener ojos hechos de miel pero si color miel,que el collar esta hecho de perlas,porque las perlas se usan para accesorios,que son fr�giles,porque una escoba de cristal en realidad no sirve como escoba ya que no podr�a barrer,que tiene mucha sal o simplemente no es dulce,porque la sal esta en muchos alimentos,que no son abrazos fuertes,porque se puede abrazar suavemente o sin tanta fuerza,que no tiene punta,porque los lapices no son de sabores o para saborear,cuando las personas traen pique,porque los hornos no se mueven,que el tren se transporta de un lado a otro,porque los trenes son para viajar y transportar a diferentes lugares,que pasan muy r�pido,porque los d�as no pueden correr
433,ya que las pelotas no hablan pero metaf�ricamente si ya que describe como es alguien,que su hermano es muy grit�n,una pelota que tenga pelos,una pelota de material de plata,fr�gil,flores especiales,eres alguien de car�cter fuerte,una sonrisa t�mida,los d�as y meses pasan lento,el tiempo pasa r�pido,que tienes los ojos de color miel,si ya que se puede referir al color,un collar con perlas,si ya que muchos collares tienen perlas,que no son delicadas en sentido figurado,si si es una met�fora ya que las escobas no son delicadas,comida no dulce,por que hay comida salada,abrazos con cari�o,si ya que quiere decir con cari�o,l�piz que no sabe a nada,no ya que todo tiene sabor a algo,los hornos caminan,no ya que no tienen vida,el tren va a un lugar,si ya que es lo que hacen,que los d�a van muy r�pido,ya que hay veces que los d�as se pasan muy r�pidos
434,porque las pelotas no cantan,un ni�o gordo que hace mucho ruido,un kiwi,porque la luna brilla igual que la plata,delicada,amarillas y brillantes,fr�os,bonita y amable,el tiempo pasa lento,el tiempo pasa muy r�pido,que tiene los ojos caf� claro,porque no puedes tener miel en los ojos,que el collar esta hecho de perlas,porque si puede tener perlas,una escoba hecha de cristal,porque se romper�a,que la comida tiene mucha sal,porque le puedes poner mucha sal a la comida,un abrazo tierno,porque no siempre tienes que abrazar fuerte,un l�piz que no tiene sabor,porque siempre saben a algo si es de madera a madera si es pl�stico a pl�stico,que un horno esta junto a otro,no se pueden mover,que el tren va a alg�n lugar,porque el tren no viaja viajan las personas,que los d�as van pasando,porque siempre hay nuevos d�as
435,las pelotas son objetos,que siempre esta gritando,un animal,ya que la luna es plateada,sensible,valen mucho,sin sentimientos,no esta feliz,los d�as van lento,se pasan r�pido,los ojos son del color de la miel,por que hay personas que si tienen los ojos as�,significa algo valioso,porque si hay collares as�,son delicadas,por que se romper�an r�pidamente y no te ayudar�an a recoger la basura,esta muy condimentada la comida,porque suele pasar,que no son con tanta fuerza,porque hay personas que no abrazan fuertes,no es llamativo,porque los lapices no se comen,hace calor,en forma literal no ya que no se mueven pero en met�fora si y seria que har� mucho calor,el tren se mueve en varios lugares,por que con los trenes llegas a tu destino,los d�as pasan,por eso existe la semana
436,porque las pelotas no cantan,porque se espanta muy f�cil y salta al mismo tiempo que grita,un juguete,la luna es redonda y es color gris y brilla,arrugada,flores amarillo brillante,de baja temperatura,t�mida,los d�as van lento,van muy r�pido,el color de los ojos es color miel,si es una met�fora,que el collar esta hecha de perlas,si es un tipo de bisuter�a joyer�a,se rompe f�cil la escoba,como es de cristal la escoba es fr�gil,esta muy salado,si la comida tiene mucha sal,que la persona esta acolchonada,si el abrazo es acolchonado ,el l�piz tiene sabor de lo que esta hecho,si el l�piz esta hecho de madera y la madera tiene sabor,porque no se mueven,no no es algo que se pueda mover por su cuenta,que el tren se traslada de un lado a otro,si el tren esta hecho para moverse de un lugar a otro,los d�as pasan muy r�pido,si si el d�a pasa muy r�pido metaf�ricamente as� se dice
