,idPersona,sexo,por_que_pelota_que_canta,por_que_pelota_que_canta_count_total,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos_count_total,que_otra_cosa_podria_ser_una_pelota_de_pelos,que_otra_cosa_podria_ser_una_pelota_de_pelos_count_total,explica_tu_respuesta_en_la_frase_pelota_de_plata,explica_tu_respuesta_en_la_frase_pelota_de_plata_count_total,c1t,c1t_count_total,c2t,c2t_count_total,c3t,c3t_count_total,c4t,c4t_count_total,c5t,c5t_count_total,c6t,c6t_count_total,que_significa_1,que_significa_1_count_total,por_que_crees_que_si_o_no_es_posible_1,por_que_crees_que_si_o_no_es_posible_1_count_total,que_significa_2,que_significa_2_count_total,por_que_crees_que_si_o_que_no_es_posible_2,por_que_crees_que_si_o_que_no_es_posible_2_count_total,que_significa_3,que_significa_3_count_total,por_que_crees_que_si_o_que_no_es_posible_3,por_que_crees_que_si_o_que_no_es_posible_3_count_total,que_significa_4,que_significa_4_count_total,por_que_crees_que_si_o_que_no_es_posible_4,por_que_crees_que_si_o_que_no_es_posible_4_count_total,que_significa_5,que_significa_5_count_total,por_que_crees_que_si_o_que_no_es_posible_5,por_que_crees_que_si_o_que_no_es_posible_5_count_total,que_significa_6,que_significa_6_count_total,por_que_crees_que_si_o_que_no_es_posible_6,por_que_crees_que_si_o_que_no_es_posible_6_count_total,que_significa_7,que_significa_7_count_total,por_que_crees_que_si_o_que_no_es_posible_7,por_que_crees_que_si_o_que_no_es_posible_7_count_total,que_significa_8,que_significa_8_count_total,por_que_crees_que_si_o_que_no_es_posible_8,por_que_crees_que_si_o_que_no_es_posible_8_count_total,que_significa_9,que_significa_9_count_total,por_que_crees_que_si_o_que_no_es_posible_9,por_que_crees_que_si_o_que_no_es_posible_9_count_total,lista_de_valores,promedio_total
431,432,f,la figura humana no tiene forma de esfera,,que al ser pequeno llora y grita mucho,,un gato,,si el sol es una pelota de fuego ya que es caliente la luna tiene apariencia plateada en la noche,,fragil,,de mucho valor,,sin sentimientos,,muy grande,,se hace eterno,,el tiempo pasa muy rapido,,que ves todo muy meloso o por el color,,porque hay alguien que lo puede tomar literal y otras que lo toman como metafora,,hay collares echos de perlas,,porque no todos los collares son de perlas,,que una escoba esta echa de cristal,,porque no se puede limpiar con cristal,,la comida contiene sal o no es un postre,,porque la comida dulce y la salada existen,,un abrazo no tan apretado,,hay abrazos muy fuertes y otros que no,,los lapices no son algo que se pruebe,,porque los lapices no se comen,,que se aproximan,,porque no caminan ni se mueven,,que se mueve y viaja a otros lugares,,porque es un medio de transporte,,los dias pasan,,porque el tiempo pasa y hace que los dias acaben,,,
432,433,f,porque se refiere a que su mama canta,,que grita mucha probablemente porque es menor,,mi perro,,que la luna es de color gris y brilla ligeramente en la noche,,lisa,,doradas o amarillas,,que no tienen sentimientos,,una sonrisa ligera,,se pasa muy lento pero en si no le ocurre nada,,que el tiempo pasa muy rapido,,que son color miel,,porque es imposible tener ojos hechos de miel pero si color miel,,que el collar esta hecho de perlas,,porque las perlas se usan para accesorios,,que son fragiles,,porque una escoba de cristal en realidad no sirve como escoba ya que no podria barrer,,que tiene mucha sal o simplemente no es dulce,,porque la sal esta en muchos alimentos,,que no son abrazos fuertes,,porque se puede abrazar suavemente o sin tanta fuerza,,que no tiene punta,,porque los lapices no son de sabores o para saborear,,cuando las personas traen pique,,porque los hornos no se mueven,,que el tren se transporta de un lado a otro,,porque los trenes son para viajar y transportar a diferentes lugares,,que pasan muy rapido,,porque los dias no pueden correr,,,
433,434,f,"ya que las pelotas no hablan, pero metaforicamente si ya que describe como es alguien.",,que su hermano es muy griton,,una pelota que tenga pelos,,una pelota de material de plata,,fragil,,flores especiales,,eres alguien de caracter fuerte,,una sonrisa timida,,los dias y meses pasan lento,,el tiempo pasa rapido,,que tienes los ojos de color miel,,si ya que se puede referir alcolor,,un collar con perlas,,si ya que muchos collares tienen perlas,,que no son delicadas en sentido figurado,,"si, si es una metafora ya que las escobas no son delicadas.",,comida no dulce,,por que hay comida salada,,abrazos con carino,,si ya que quiere decir concarino,,lapiz que no sabe a nada,,no ya que todo tiene sabor a algo,,los hornos caminan,,no ya que no tienen vida,,el tren va a un lugar,,si ya que es lo que hacen,,que los dia van muy rapido,,ya que hay veces que los dias se pasan muy rapidos,,,
434,435,f,porque las pelotas no cantan,,un nino gordo que hace mucho ruido,,un kiwi,,porque la lun brilla igual que la plata,,delicada,,amarillas y brillantes,,frios,,bonita y amable,,el tiempo pasa lento,,el tiempo pasa muy rapido,,que tiene los ojos cafe claro.,,porque no puedes tener miel en los ojos,,que el collar esta hecho de perlas,,porque si puede tener perlas,,una escoba hecha de cristal,,porque se romperia.,,que la comida tiene mucha sal,,porque le puedes poner mucha sal a la comida,,un abrazo tierno,,porque no siempre tienes que abrazar fuerte.,,un lapiz que no tiene sabor,,"porque siempre saben a algo, si esde madera a madera, si es plastico a plastico.",,que un horno esta junto a otro,,no se pueden mover.,,que el tren va a algun lugar,,"porque el tren no viaja, viajan las personas.",,que los dias van pasando.,,porque siempre hay nuevos dias,,,
435,436,f,las pelotas son objetos,,que siempre esta gritando,,un animal,,ya que la luna es plateada,,sensible,,valen mucho,,sin sentimientos,,no esta feliz,,los dias van lento,,se pasan rapido,,los ojos son del color de la miel,,por que hay personas que sitienen los ojos asi,,significa algo valioso,,porque si hay collares asi,,son delicadas,,"por que se romperian rapidamente y no te ayudarian a recoger 
la basura",,esta muy condimentada la comida,,porque suele pasar,,que no son con tanta fuerza,,porque hay personas que no abrazan fuertes,,no es llamativo,,porque los lapices no se comen,,hace calor,,"en forma literal no ya que no se mueven, pero en metafora si, y seria que hara mucho calor",,el tren se mueve en varios lugares,,por que con los trenes llegas a tu destino,,los dias pasan,,por eso existe la semana,,,
436,437,f,pq las pelotas no cantan,,pq se espanta muy facil y salta al mismo tiemmpo que gfrita,,un juguete,,la luna es redonda y es color gris y brilla,,arrugada,,flores amarillo brillante,,de baja temperatura,,timida,,los dias van lento,,van muy rapido,,el color de los ojos es color miel,,"si, es una metafora",,que el collar esta hecha de perlas,,"si, es un tipo de bisuteriajoyeria",,se rompe facil la escoba,,"como es de cristal,la escoba es fragil",,esta muy salado,,"si, la comida tiene mucha sal",,que la persona esta acolchonadita,,"si, el abrazo es acolchonado hehe",,el lapiz tiene sabor de lo que esta hecho,,"si, el lapiz esta hecho de madera y na madera tiene sabor",,pq no se mueven,,"no, no es algo que se pueda mover por su cuenta",,que el teen se traslada de un lado a otro,,"si, el tren esta hecho para moverse de un lugar a otro",,los dias pasan muy rapido,,"si, si el dia pasa muy rapido metaforicamente asi se dice",,,
437,438,f,porque las pelotas no cantan.,,que grita muy fuerte y grita todo el tiempo.,,un perro.,,la luna por que su forma se parece a la de una pelota y su color se parece al color plata.,,puede ser fragil o arrugada.,,son flores muy bonitas y de color oro.,,que no pueden expresar facilmente sus sentimientos.,,que su sonrisa es muy linda.,,para algunas personas el ano esta pasando de una manera muy lenta.,,para algunas personas el tiempo se les esta pasando muy rapido.,,que sus ojos son color miel .,,"es posible ,porque algunas personas tienen los ojos de este color.",,que el collar esta hecho de perlas.,,"es posible , porque existen los collares de perlas.",,que son escobas que se rompen muy facilmente.,,"no es posible, por que no existen las escobas de cristal . es una metafora.",,que la comida tiene mucha sal.,,"es posible ,porque a la comida se le puede poner mucha sal y esto la vuelve salada.",,"que son abrazos delicados , no son abrazos fuertes.",,"es posible, porque puedes dar abrazos fuertes o puedes dar abrazos suaves.",,que el lapiz no pinta bien o su color no es bueno.,,"no es posible, por que los lapices no tiene sabor pero se puede referir al color. es una metafora.",,que la temperatura va a estar muy calurosa.,,"no es posible, por que los hornos no se pueden acercar pero se puede referir a que va hacer mucho calor. es una metafora.",,que el tren esta viajando hacia algun lugar.,,"es posible, porque la gente viaja en tren para llegar a varios lugares.",,que los dias estan pasando muy rapido.,,"no es posible, porque los dias no pueden correr pero se refiere a que los dias estan pasando muy rapido. es una metafora.",,,
438,439,f,por que una pelota no no hay tal cosa aunque se podria usar como una metafora,,que su hermano tiende a gritar mucho,,una mascota,,"tiene referencia al color de la luna o como la vemos por el reflejo del sol, brillante a la vista humana por la lejania y el reflejo",,maltratado,,blancos y derechos,,amable y buena,,una sonrisa falsa o sin emocion,,cambio a ser de dia,,paso algo malo pero en el futuro vendra algo bueno o mejor,,brillantes o delicadas,,por que las estrellas se componen en la mayoria de gases y rocas,,su significado es literal que significa vestidos hechos de tela,,por que si existe por que todos los vestidos estan hechos de tela a pesar de usar diferentes materiales para hacerlos,,zapatos de color miel,,por que existen diferentes colores de zapatos dependiendo de los gustos de las personas,,alguien frio o distante que no muestra mucho sus sentimientos,,por que las personas se adaptan dependiendo su alrededor y si es hostil tienden a comportarse asi,,un alma fuerte y valiente,,por que hay personas que a pesar de las adversidades aun continuan sus objetivos con una perseverancia impresionante aunque le digan que no se puede,,soledad?,,posible si es el significado que considero de lo contrario podria ser cualquier otra cosa,,por que una silla no se mueve a menos que alguien la lleve,,que una siga se haga presente?,,algunos atletas como los corredores corren la mayoria de las veces,,por que existe el deporte del atletismo justamente basado en correr,,el tiempo es suficiente,,por que se puede dar una cantidad exacta de tiempo para una actividad,,,
439,440,f,si porque todos las pelotas que menciona se refieren a la accion o apariencia de un ser vivo o cosa,,que se refieren a que la pelota representa su hermano y como su hermano grita mucho esa es la accion que representa a su hermano,,una mascota o un peluche,,yo creo que come se esta refiriendo en la primera frase al sol en la segunda como la luna tiene color plata yo pienso que se refiere a la luna,,seco y enredado,,muy limpios,,muy amable,,reluciente,,ya paso,,que las cosas pueden mejorar,,que un cristal tiene forma de estrella,,porque se pueden formar estrellas con cristal,,que el vestido esta hecho de tela,,que si porque es con el material que la mayoria de los vestidos estan hechos,,que un zapato esta hecho de miel,,que no porque no es un material resistente que se pueda usar diariamente,,una figura plasmada en una piedra con su figura,,si es posible porque en las piedras se pueden tallar figuras y en especial las esculturas,,que una persona es muy valiente,,no es posible que una persona tenga alma de hierro pero el termino se usa para referirse a una persona muy fuerte de corazon o valiente,,que la banqueta es segura,,no es posible fisicamente pero creo que puede referirse a una banqueta segura,,no creo que sea posible porque las sillas no se pueden mover solas,,que una silla esta en un lugar,,a las personas que estan dedicadas a correr y lo practican como deporte,,si es posible porque el atletismo es para correr,,que es suficiente una cierta cantidad de tiempo,,si es posible porque la frase es usada para referirse a que el tiempo es suficiente,,,
440,441,f,"porque es una metafora, y las metaforas comparan cosas con otras.",,"su hermano debe ser un nino pequeno, y por lo general los ninos pequenos gritan cuando hacen berrinches. tambien puede ser un bebe su hermano y pues los bebes lloran.",,"un gato, algun animal peludo o tal vez su papa.",,"la luna es redonda al igual que el sol. en la primera frase uno puede entender que habla del sol, entonces cuando va a la siguiente frase, uno puede deducir que habla de la luna, ya que la luna puede decirse que es plateada.",,rasposo,,blancos brillantes,,"tierna, carinosa, amable",,"fria, sin sentimiento",,paso algo que nadie quiere recordar,,que aun faltan mas cosas buenas por venir,,que las estrellas son tan brillantes como cristales y tan bellas como ellos.,,"porque las estrellas son bolas de fuego a millones de kilometros de distancia. no pueden ser de cristal, si lo fueran, no serian estrellas.",,que los vestidos estan hechos de tela.,,"porque los vestidos estan hechos de tela. digo, puede haber vestidos hechos de otra cosa, pero es muy escaso verlos.",,que los zapatos son tan amarillos como la miel.,,porque si hubiera zapatos de miel los pies quedarian pegajosos. no es muy buena idea que los hagan. no creo que serian muy comercializados.,,que la escultura esta hecha de piedra.,,generalmente las esculturas son de marmol o de yeso o algo similar pero es posible que una escultura este hecha de piedra.,,"que la persona tiene un alma fuerte, inquebrantable, resistente.",,"uno, las almas no existen, es algo espiritual. dos, si lo fueran no creo que serian de hierro.",,no tengo la menor idea.,,no creo que una banqueta pueda abrigar a alguien o a algo. son de concreto y el concreto no se mueve.,,no creo que una silla tenga vida propia y pueda desplazarse de un lugar a otro. a menos que alguien tenga de apodo la silla.,,no se.,,que los atletas corren.,,porque deben de correr para ponerse en forma.,,que el tiempo es suficiente para hacer algo.,,es una expresion muy conocida. ademas tiene sentido tal y como lo dices.,,,
441,442,f,las pelotas no cantan,,porque esta gordo y grita demasiado,,un perro o gato gordo,,una pelota color plata,,"duro, grueso y rasposo",,"muy blancos, brillantes y bien alineados",,"muy amable, no hace dramas y es muy amistosa",,una sonrisa falsa sin sentimientos ni emociones,,"ya paso, forma parte del pasado y ya no se puede cambiar",,que si estas en una mala situacion eso mejorara y la pasaras mucho mejor y eso se resolvera,,que las estrellas brillan demasiado son muy brillantes,,es posible por la atmosfera y los compuestos de la estrella (tambien de la temperatura y la cercania al nucleo),,vestidos hechos de tela,,la mayoria los vestidos estan hechos de tela,,zapatos fabricados con miel,,no se puede porque la miel es liquida y no va a conservar la forma del zapato,,una piedra tallada para que tenga la forma de algo,,"si, la piedra es resistente y con trabajo se logran buenos resultados",,que no te afecta nada emocionalmente,,si eres fuerte y confias en lo que crees,,una banqueta comoda y muy calientita,,"es posible, mucha gente vive ahi (aunque no quieran) y la hacen ver comoda algunas veces",,si porque las sillas si pueden ser llevadas a lugares (no voluntariamente),,que la silla ya llego a donde debia llegar (fue transportada),,los atletas corren porque es parte fundamental de ser atleta,,"si en todos los deportes corres o es necesario correr (exepto natacion, bicicleta, tiro al blanco y algunos deportes de invierno)",,el tiempo es suficiente,,porque queda tiempo suficiente para lograrlo,,,
442,443,f,porque literalmente puede tener un aparato adentro,,la pelota significa su impratividad osea como *rebotar* y los gritos representa el ruido que hace,,"un perro, una axila, todo el cuerpo humano",,la mente es muy valiosa y brillante,,maltratado,,blancos y limpios,,amable,,sin sentimiento,,desaparecio y amanecio,,que los viejos malos recuerdos seran remplazados por nuevos y buenos,,que brillan mucho como un cristal,,porque segun yo las estrellas tienen partes de cristales,,el material es tela,,porque hay vestidos asi,,pueden ser suaves o pegajosos por el sudor :i,,si lo tomas literal no se puede,,que en la antiguedad se hacian estatuas asi,,pues porque literalmente es asi,,que tu alma es fuerte cont6ra situaciones dificiles,,porque hay personas asi,,NS,,no le encontre sentido,,si porque puede ser una silla electrica del futuro o el apyo de alguien hacia ti,,que el apoya de alguien llego,,que las personas que son atletas corren,,porque eso es lo que hacen literal,,que para realizar algo importante todavia tienes algo de tiempo de sobra,,porque si quiero hacer un proyecto para el proximo lunes el tiempo me alcanza para hacerlo,,,
443,444,f,no entiendo a que se refiere,,que su hermano no deja de gritar,,un hamster (algun animal),,la luna por que es redonda y de color plata,,chino,,blancos,,amable,,blanca,,ya paso,,que todo va a mejorar,,estrellas que brillan,,por que es una metafora,,que los vestidos estan hechos de tela,,por que los vestidos si estan o pueden ser de tela,,no le entendi a esa metafora,,por que no entendi que significaba,,que es una escultura hecha de piedra,,por que las esculturas si estan hechas de piedra,,alma fuerte,,por que si puedes tener un alma fuerte,,que la banqueta esta comoda,,por que la banqueta si puede estar comoda,,por que pueden traer la silla,,que ya trajeron la silla,,que los atletas estan corriendo,,por que los atletas si pueden correr,,que ya vas tarde,,por que si puedes llegar tarde,,,
444,445,f,porque tu mama puede cantar,,gritan mucho,,un gato,,es del mismo color que la luna,,como seco,,brillantes,,linda,,que te da como miedo,,se acabo,,que luego sera mejor,,una estrella hecha de cristal,,porque es una forma de estrella en cristal,,que traes puesta telas,,porque hay ropa que es hecha de tela,,NS,,porque la miel tiene diferentes formas de ser,,una escultura hecha de piedras,,una escultura puede ser de piedra,,que tienes el alma resistente,,porque hay gente que es mas facil para ellos soportar algo,,que la banqueta te cubre,,porque ya existe,,las sillas no caminan por si mismas,,no tiene sentido,,que corren,,si eres atleta corres,,que ya casi llega el tiempo,,porque se te puede acabar el tiempo,,,
445,446,f,mi mama canta mucho,,que grita demaciado,,mi cabeza,,la irradia luz tan blanca como el reflejo en plata,,no se que es zacate,,brillantes,,amable,,fria,,ya paso,,que cosas buenas pasaran,,estrellas hechas de cristal una obra de arte,,porque un humano si puede hacer un estrella hecha de cristal,,ropa hecha de tela,,porque la ropa de la gente normal esta hecha de tela,,zapatos hechos con miel,,es imposible porque la miel es liquida,,una estatua hecha de piedra,,porque la piedra es solida para que se quede estable y en su lugar,,un alma muy fuerte,,porque puedes tener un espiritu fuerte o debil,,una banqueta suave,,porque la banqueta esta hecha de piedra,,porque no es posible que una silla se mueva por si misma,,la silla vino,,gente atleta corriendo,,porque los atletas estan destinados a correr,,que el tiempo es suficiente,,porque el tiempo empieza y termina,,,
446,447,f,porque las son un objeto.,,que el nino grita mucho tiempo continuo.,,un gato.,,la luna es redonda y plateada o gris.,,quebradizo,,brillantes,,linda,,sonrisa limpia,,quedo en el pasado,,que en el futuro alguien mejor llegara,,estrellas muy brillantes.,,si es posible porque es una figura brillante.,,ropa,,porque la tela es un material que comunmente se ocupa para hacer ropa.,,zapatos pegajosos.,,porque la miel es pegajosa.,,algo fuerte.,,porque es un material fuerte que se pueden hacer muchas cosas con piedra.,,alma fuerte no sensible.,,porque es un sentimiento.,,que las banquetas estan bien hechas.,,porque las banquetas no estan nada bonitas.,,porque te pueden dar otras oportunidades.,,que tienes un lugar disponible.,,que es un deporte donde se corre.,,por el tipo de deporte y pista.,,que siempre hay tiempo restante.,,porque el tiempo no puede controlarse y no siempre alcanza el tiempo.,,,
447,448,f,las pelotas no cantan,,significa que su hermano llora y gritos mucho,,un animal,,pongo dinero porque es como un pelota de plata,,el cabello es corto y liso,,las dientes tienen anillos,,si hermana es muy dulce y simpatica,,significa que ella esta haciendo un sonrisa falso,,significa que la noche te ayuda a piensar,,significa que vamos a tener mejor oportunidad,,significa que es un cristal que se compone de escombros de estrella,,creo que si porque se puede que una estrella tumba del cielo y que despues se transforme en cristal,,signica que es un vestido hecho de tela,,creo que si porque si tu tienes tela pues tu puedes hacer un vestido,,significa hacer zapatos con miel,,creo que no porque si tu frabricas zapatos de miel pues tu no puedes poner esos zapatos porque si intentas de caminar con ellas te vas a caer o tu vas a no tener xapatos porque el miel se va a ir en la tierra,,significa un escultura hecho con piedra,,porque puedes hacer escultura con piedra porque ese material es muy bien para hacer estatuas,,pues no soy seguro pero para mi significa que tienes una personalidad pues cruel probablemente,,creo que si porque se puede que una persona tiene una personalidad muy cruel y que puedes su personalidad afecta a su alma y el se convertido en alma de hierro,,significa una banqueta que hecho calor,,creo que si porque podriamos utilizar tecnologia para poner un sistema que podria poner calor en una banqueta,,creo que si porque es totalmente posible,,significa que silla puedes venir,,significa que atletas corren,,creo que si porque el comercio de los atletas es de correr,,significa que el tiempo es alcanza cuando por ejemplo un reloj es alcanza,,si porque tu puedes tener solo como 3horas para hacer un ejercicio y despues tu tiempo es alcanza,,,
448,449,f,porque las pelotas no pueden cantar,,que su hermano es muy griton,,un perro,,es una metafora hacia la luna pues es tan bella y parece de plata,,blancas,,suave,,intensa,,"de mirada dura, fria y sin sentimientos",,se acerca,,que ya es la temporada de fiestas,,que las piernas son resistentes y tienen condicion,,en sentido metaforico si se podria referir a alguien con condicion,,que el material es papel,,por que si existen o si se puede,,un calendario de un material que no se puede,,no se puede hacer un calendario de pasto,,que el carbon esta en llamas o caliente,,porque el carbon se utiliza para prender fogatas,,"que esa persona tiene una mirada triste, como mala",,porque es como demostrar sentimientos,,una calceta hecha de plata,,porque no se puede utilizar ese material para fabricar una calceta,,porque las cebollas no pueden caminar,,que una cebolla esta llegando,,que las gaviotas se trasladan mediante al vuelo,,por que en realidad si pueden volar,,que ya se va a hacer de noche,,porque siempre hay noche,,,
449,450,f,porque se puede expresionar a cantar al modo de botar.,,que se grita siempre llora y grita.,,una especie marina,,una pelota dura de plata,,muy blanco,,que el piel es muy cara,,esta concentrado en algo,,que sus ojos duelen,,que ya termino la primavera y llego verano,,que ya falta poco o ya es navidad,,que tienen piernas fuertes,,si porque algunas personas tienen mas fuerza en sus piernas que otros,,un sobre de papel,,porque un sobre es de un papel,,es pasto que tiene calendario,,no se puede porque antes las personas contaban los dias con las formas de lunas pero no de pasto,,que el carbon fuega,,si es posible porque el carbon fuega,,que sus ojos duelen,,si porque si se pueden doler sus ojos,,una calceta de plata,,no es posible porque calceta es de tela,,porque no tienen piernas,,que la cebolla viene,,que las gaviotas vuelan,,si es posible porque tienen alas,,que ya es noche,,si porque siempre la noche viene,,,
450,451,f,"por que se esta refiriendo a una persona en especifico, como a las cualidades",,"que su hermano es muy desastroso, que grita mucho",,"por el pelo , pelo muy largo",,que es muy importante,,blancas,,piel suave,,"coqueta, como interesante",,"no buena mirada, sospechosa",,"donde todos se la pasan padre, divirtiendose",,"que hace frio, y demasiados regalos, felicidad",,que son muy fuertes,,"si, haciendo ejercicio",,donde guardas dinero,,si por que se hacen muy seguido,,calendario para banarte?,,no,,carbon que se quema,,si por que es se puede prender,,"ojos raros , sospechosos",,si,,calceta importante,,si por que puede tener algo dentro,,"si, por que es lago que pasa muy comun",,como ahi viene algo que huele mal,,las aves vuelan,,por si pasa,,que ya se esta haciendo tarde,,"si , pasa dia a dia , y siempre va a anochecer",,,
451,452,f,porque es una metafora que hace referencia a una persona y las personas cantan.,,que el hermano del autor es alguien que se expresa mucho y de manera demandante.,,"algo o alguien complicado, que no comprendes",,yo puse la vida porque es algo valioso tenemos pero que no todos saben como sacarle provecho.,,blancas.,,suave.,,intensa.,,oscuros.,,esta cerca.,,que ya es la fecha de navidad o que ya se tiene espiritu navideno.,,que las piernas son fuertes.,,es posible si es que es una metafora.,,que un sobre esta hecho de papel.,,porque existen los sobres de papel.,,que puedes no tener muy bien planificados tus dias y que parezca que tengan hoyos como los de los zacates.,,creo que es posible porque puede usarse el recurso de metafora.,,"que algo se intensifico o que en el se estan creando problemas. tambien, si se usa de manera literal, que el carbon ha llegado a una temperatura mayor.",,es posible si se usa en metafora al hacer referencia a algun problema o al calentar carbon.,,que los ojos de alguien son de color oscuro o que estos reflejan amargura.,,porque puedes ver algunas expresiones en los ojos de alguien y estos pueden tener distintos colores.,,que aunque sea algo no extraordinario es importante y valioso.,,porque puedes usarlo como metafora.,,porque puedes usar la expresion para hacer referencia a algo con mal olor.,,que algo con un olor fuerte se acerca.,,"que los pajaros, en este caso las gaviotas emprenden el vuelo.",,porque es algo que pasa en la realidad.,,que es tarde en el dia por lo cual la noche esta cercana.,,"porque mientras mas tarde es, mas noche es.",,,
452,453,f,pelota no puede cantar,,"su hermano se grita y trata como pelota(salta, bota)",,NS,,una pelota dura,,"blancas, se ven suaves",,esta seca,,no se que significa ardiente,,no se que significa armagos,,la clima se esta cambiando (calor),,llego la dia mas feliz del ano que todas las personas celebran,,no se la palabra acero,,no se la palabra acero,,que un objeto esta arriba de papel,,"si porque, es posible dejar una cosa arriba de un papel",,no se que significa zacate,,no entiendo,,el carbon esta en el fuego,,es posible porque todas las personas usan carbon para hacer el fuego mas grande,,"tiene ojo de triste, etc...",,"si, porque cada persona tiene diferentes ojos.",,la calceta es hecha con pano,,"no porque si la calceta sera de plata, nadie va a poder usarlo",,no porque la cebolla no se puede mover sola,,que la cebolla esta llegando,,que las gaviotas se vuelan,,"si es posible, porque las gaviotas se vuelan",,que el noche esta llegando,,si porque el noche llega cada dia,,,
453,454,f,porque define lo que hace su mama,,que es muy escandaloso,,alguna mascota,,que es de gran importancia,,como algodon,,suave,,mirada poderosa,,color fuerte,,descanso,,felicidad,,que tienen mucha fuerza,,porque pueden ser fuertes,,que es un sobre hecho de papel,,porque los sobres son de papel,,que es un calendario muy ajustado,,porque puede que alguien este ocupado,,que algo esta muy caliente,,porque las cosas pueden estar calientes,,ojos con una mirada poderosa,,porque hay personas con esta mirada,,algo con gran importancia,,porque puede ser de gran importancia,,porque la cebolla te hace llorar y es como tristeza,,la tristeza llega,,que la etapa de una persona vuela,,porque las personas crecen,,la muerte llega,,pq siempre hay un final,,,
454,455,f,"porque la luna, el sol y la cabeza son circulares y las pelotas son circulares.",,que el hermano grita mucho.,,una cabeza,,la luna es circular y de color plata.,,son blancas como la leche,,la piel es muy suave,,"que la mirada quema, una forma de ver raro",,color oscuro,,"estan viniendo las lluvias, las vacaciones y el calor.",,que llego el invierno,,que tiene las piernas muy fuertes.,,si porque quiere decir que tiene fuerza en las piernas,,un sobre que se hace con papel.,,"si es posible, porque puedes crear un sobre hecho con papel.",,un calendario bien hecho,,porque puede ser un calendario bien elaborado,,que el carbon esta muy caliente.,,"si es posible porque el carbon es caliente cuando lo pones al fuego, y arde.",,"que como el amargo no tiene un sabor a dulce, los ojos son oscuras",,"si es posible porque los ojos son oscuros, ya que el amargo no es dulce.",,que la calceta tiene color de plata,,"si, por el color de plata o tiene forma de luna.",,si por que la cebolla te hace llorar.,,las lagrimas llegan,,"que las gaviotas vuelan, y si por que son aves.",,porque las gaviotas son aves,,"que todo el dia hay luz, y cuando se obscurece, la noche llega.",,porque se hace oscuro y ahi llega la noche.,,,
455,456,f,porque habla de personalidades y rasgos.,,el molesta facilmente,,"una alfombra, o animal chichito.",,"porque este es como los hombres puede ver una mujer, sola una cosa linda.",,es grueso,,la piel es suave y lisa. no hay arrugas e imperfecciones.,,es aterrador y enojado.,,estan enojados por algo que hiciste.,,es tarde y el invierno es largo.,,el dia de la navidad estaba aqui.,,piernas que son muy fuertes y dificiles de romper. o una persona con una pierna protesica,,creo que es posible tener piernas fuertes o una protesis de metal.,,un sobre hecho de papel.,,si he usado uno el mes pasado.,,un calendario de zacte.,,puedes tejer la hierba en un calendario o puedes cortar la hierba en la forma del calendario.,,el carbon esta ardiendo.,,porque he asado antes y usamos carbon y se quemo.,,estan enojados.,,por veo.,,una calceta que hecho de plata.,,usted podria derretir la plata y formarla en un calcetin,,las cebollas no pueden caminar,,la cebolla camina.,,las gaviotas vuelan.,,porque veo,,se convierte de dia en noche.,,porque miro el atardecer,,,
456,457,f,porque se refiere a que su mama es una pelota y ella canta,,su hermano grita mucho,,una pelota llena de pelos,,es una pelota hecha de plata,,de color blanco,,muy suave,,una mirada con furia,,tristes,,ya es la estacion de verano,,la es epoca de navidad,,que las piernas son fuertes,,es posible por que alguien puede ser muy fuerte,,un sobre de papel,,por los sobres de papel existen,,un calendario hecho de zacate,,no es posible porque seria raro,,que el carbon esta muy caliente,,es posible porque el carbon se calienta,,que los ojos estan tristes,,si es posible por que los ojos pueden reflejar eso,,que la calceta es de plata,,"no es posible, porque la calceta no puede estar hecha de plata",,porque si,,que alguien trae una cebolla,,que la gaviotas vuelan,,es posible por que las gaviotas son aves,,que la noche se fue y llego,,porque despues de que esta el dia llega la noche,,,
457,458,f,las pelotas no cantan,,que su hermano grita mucho,,una cabeza,,pelota brillante,,"de leche , blancas",,"de seda , fina y suave",,"ardientes , fuerte",,"amargos , tristes , oscuros , enojados",,"viene , se acerca",,que ya es navidad,,piernas fuertes,,por que puedes tener piernas fuertes si haces deporte,,un sobre hecho de papel,,"por que si doblas un papel , se hace un sobre",,que si es posible,,por que uniendo el zacate se puede,,"carbon , caliente",,por que si pones el carbon en el fuegos se calienta,,ojos oscuros o amargados,,por que puedes tener ojos oscuros o una vida amargada,,un calcetin muy caro,,puedes vender un calcetin a muchos precios,,puedes ir a comprar cebolla,,que compraste cebolla y ya llegaste,,que pueden volar,,si por que tienen alas y saben volar,,que ya es de noche,,por que la tierra gira y se hace de noche,,,
