,idPersona,sexo,por_que_pelota_que_canta,por_que_pelota_que_canta_count_total,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos_count_total,que_otra_cosa_podria_ser_una_pelota_de_pelos,que_otra_cosa_podria_ser_una_pelota_de_pelos_count_total,explica_tu_respuesta_en_la_frase_pelota_de_plata,explica_tu_respuesta_en_la_frase_pelota_de_plata_count_total,c1t,c1t_count_total,c2t,c2t_count_total,c3t,c3t_count_total,c4t,c4t_count_total,c5t,c5t_count_total,c6t,c6t_count_total,que_significa_1,que_significa_1_count_total,por_que_crees_que_si_o_no_es_posible_1,por_que_crees_que_si_o_no_es_posible_1_count_total,que_significa_2,que_significa_2_count_total,por_que_crees_que_si_o_que_no_es_posible_2,por_que_crees_que_si_o_que_no_es_posible_2_count_total,que_significa_3,que_significa_3_count_total,por_que_crees_que_si_o_que_no_es_posible_3,por_que_crees_que_si_o_que_no_es_posible_3_count_total,que_significa_4,que_significa_4_count_total,por_que_crees_que_si_o_que_no_es_posible_4,por_que_crees_que_si_o_que_no_es_posible_4_count_total,que_significa_5,que_significa_5_count_total,por_que_crees_que_si_o_que_no_es_posible_5,por_que_crees_que_si_o_que_no_es_posible_5_count_total,que_significa_6,que_significa_6_count_total,por_que_crees_que_si_o_que_no_es_posible_6,por_que_crees_que_si_o_que_no_es_posible_6_count_total,que_significa_7,que_significa_7_count_total,por_que_crees_que_si_o_que_no_es_posible_7,por_que_crees_que_si_o_que_no_es_posible_7_count_total,que_significa_8,que_significa_8_count_total,por_que_crees_que_si_o_que_no_es_posible_8,por_que_crees_que_si_o_que_no_es_posible_8_count_total,que_significa_9,que_significa_9_count_total,por_que_crees_que_si_o_que_no_es_posible_9,por_que_crees_que_si_o_que_no_es_posible_9_count_total,lista_de_valores,promedio_total
351,353,f,si. porque dice en la cancion que toda tu familia parece pelotas,,que como su hermanito grita mucho. tiene una pelota de gritos,,perro porque tiene pelos*,,a lo mejor tiene un trofeo ,,como algodon de azucar,,suave,,como enojada,,bonitos,,es cuando esta medio,,es que ya vino el invierno,,que tengo las piernas duras,,porque no correria la sangre en tus venas,,hacer un sobre de papel,,se romperia muy facil,,hacer un calendario,,porque el zacate es muy dificil,,carbon ardiente,,si solo si lo quemas,,tienes ojos lindos,,es posible porque tu cuidas tus ojos,,nadamas puede ser del color,,es posible por tienen paciencia de hacer la calceta,,que si la cebolla llega a nosotros,,porque para eso existen las fruterias,,que pueden volar hasta el cielo,,es posible porque como tienen alas pueden volar,,cuando se acaba el dia hay noche,,es posible para que puedas descansar,,,
352,354,f,no. porque las pelotas no cantan*,,porque grita mucho y la pelota al rebotar suena,,papa. porque cuando se enoja se le paran los pelos,,pelota que esta pintada de color plata,,blancas,,suave,,de enojado,,de que esta aburrido,,que va a cambiar de estacion y viene el verano,,que despues de tanto tiempo es el dia,,que estan duras,,porque no hay piernas tan duras y resistentes,,donde metes las cartas de papel,,porque asi es mas facil poderla abrir,,el calendario es un estropajo,,no se podria tachar el dia que ya paso,,al prenderse esta caliente,,porque lo prendes y se va calentando,,que esta siempre aburrido y no rie,,porque no hay nadie asi,,que la calceta es de mucho valor,,no se puede no tuviera movimiento,,cuando llega del super,,porque ya viene a donde la van a vender,,que pueden estar en el aire,,por sus alas,,pasa el dia y llega la noche,,porque asi es el dia y luego la noche,,,
353,355,f,no. porque las pelotas no cantan*,,mi hermano grita mucho*,,perro porque los perros tienen  pelo en la cabeza,,la luna llena es como una pelota de plata por su color,,son como si fueran algodon. cambian de figura,,suave,,cuando miras a una persona?,,chiquitos redondos,,las vacaciones,,cuando ya es navidad,,significa que sus piernas son duras,,si es posible porque sus piernas son duras,,que es como una carta de papel,,si es posible porque es como una carta de papel es como un sobre,,es cuando un calendario de un producto,,si es posible porque es un calendario,,es cuando un carbon esta en la lumbre,,si es posible porque cuando esta en la lumbre esta ardiente,,cuando tus ojos los traes amargosos,,no es posible porque no existen ojos amargosos,,que una calceta sea de plata,,no es posible porque no existe una calceta de plata,,cuando te traen una cebolla,,si es posible porque te pueden pasar la cebolla,,las gaviotas no vuelan,,no porque las gaviotas no vuelan,,si porque te la pasan,,si es posible porque te pueden paasr la leche,,,
354,356,f,no. porque las pelotas no cantan*,,mi hermano grita mucho*,,gato. perro. cabello. por su pelo*,,porque la luna es redonda y de color plata o gris. pero se identifica mas como plata.,,blancas. suaves. se transpasa igual que la leche,,a veces suave. a veces rasposa. con granitos y pelitos,,tiene lineas de expresion. las cejas dicen si estas enojada feliz o triste,,a su alrededor hay cejas pestanas de arriba y por debajo los ojos te ayudan a ver,,todos salen a vacaciones. caen muchas hojas. a veces mucho calor. a veces hace mucho frio,,que van a festejar con una comida o en la cena familiar. que hace mucho frio,,que son muy fuertes tus piernas,,yo creo que si porque cuando hacen un robot sus piernas las hacen de acero,,que estas sobre el papel,,yo digo que si por ejemplo: en tus manos traes muchas hojas de papel y se te caen luego te caes tu sobre el,,un calendario de pasto,,yo creo que no porque el pasto no se sostiene volteado y no se le entenderia nada,,carbon muy caliente,,yo creo que si porque cuando hacer una fogata y le pones mucho carbon se calienta demasiado,,una persona aburrida muy aburrida,,yo creo que si porque hay personas que son muy negativas y aburridas,,yo creo que no porque no es posible que se pueda hacer una calceta de plata,,0,,una persona fue por cebolla y ya va a llegar,,yo creo que si imagina no hay cebolla y una persona fue por ella y ya esta llegando,,un pajaro que vuela,,yo creo que si porque las gaviotas son pajaros y los pajaros vuelan,,cuando por ejemplo es tarde falta poco para que se haga de noche,,yo digo si imagina son como las 7 de pm a esa hora falta poco para que ya se haga de noche,,,
355,357,f,no. porque las pelotas no cantan,,que siempre grita,,su mascota porque se esponja,,que vale mucho como la familia,,porque son blancas,,super suave,,que ve feo a las personas,,cuando estas enojada,,que casi es verano,,que es navidad,,que sus piernas son fuertes,,no. es como para los robots pero en una persona no,,te sientas. te paras sobre papel,,si puede el papel abajo de nosotros,,0,,no porque no hay significado,,que esta caliente el carbon,,cuando lo prendes quema,,cuando estas enojada,,porque no seria como echarte limon,,una calceta cara,,si porque hay calcetas caras,,llega alguien en que no huele bien,,si porque hay personas que no se banan,,cuando llueve,,si porque las gtas pegan por el piso y vuela,,cuando oscurece,,si porque ya se oscurecio,,,
356,358,f,no. porque no es una pelota que canta. sino una pelota cualquiera,,chilla mucho cuando no tiene lo que quiere,,un enrredadero de cabello porque se enreda cada vez mas,,que es una pelota color plateado,,son blancas esponjosas y suaves,,es muy suave. de cualquier color,,es muy furiosa e otra cosa,,son muy bonitos y color bonito,,todos nos vamos a la playa o a un balneario,,quela navidad ya esta aqui o en otros lugares,,que tiene piernas irrompibles,,porque no existe nada de eso asi,,que haces un sobre con hoja de cuaderno,,todos lo pueden hacer con hojas,,es un calendario de que se vaya,,porque nadie se puede ir,,que esta en un asador,,hace que este muy ardiente,,que tiene los ojos bonitos,,si porque algunos tienen ojos bonitos,,una calceta irrompible,,todas las calcetas se rompen,,que ay viene una cebolla a un lugar,,ninguna cebolla llega sola caminando,,que van a su hogar al arbol. su nido,,porque todos los pajaros llegan a casa,,que ya esta atardeciendo,,porque algunos lugares atardece y ya luego la noche,,,
357,359,f,no. porque las pelotas no cantan,,que grita mucho,,yo creo que puede ser mi cabello porque es mucho,,yo creo que es la luna porque la luna es como plateada,,que tienen leche y estan en el suelo,,la piel es de seda y muy suave,,la mirada es muy linda,,los ojos son muy oscuros,,el verano es muy divertido te puedes ir a nadar,,ya es la navidad,,que alguien tenga piernas de acero,,nadie puede tener piernas de acero,,es un sobre hecho de papel,,yo creo que si porque hay muchos sobres de papel,,NS,,yo creo que no porque no se podria,,carbon muy caliente,,no porque el carbon no es caliente solo cuando lo pones en contacto con el fuego,,yo opino que ojos oscuros,,nadie puede tener ojos amargos,,nadie puede tener ojos de plata,,nadie puede tener calceta de plata,,si se puede porque la cebolla llega a casa,,si se puede porque a las cebollas si llegan a casa,,las gaviotas si vuelan,,si porque las gaviotas si vuelan ,,a noche ya viene,,si porque a la noche si llega,,,
358,360,f,no. porque las pelotas no pueden cantar porque no tienen boca*,,que su hermanito es muy griton,,perro porque tiene pelos*,,mi mama porque es muy valiosa,,blancas. bonitas,,es suave con un color carne o cafe,,es con la quemiras a alguien,,son un tamano chiquito y son con color azul negro cafe y verde,,las vacaciones y descansar,,que la navidad ya esta y el invierno empieza,,que hace mucho ejercicio de pierna y se hacen fuertes,,si es posible pero sino te lo propones no lo logras,,que te puedes parar en una hoja de papel,,no es posible porque el papel es muy delgado y se puede romper,,que puedes hacer un calendario de lo que quieras,,si porque solo puedes usar el zacate y es una forma de reciclar con cosas que tienes,,que sirve para que caliente cosas o comida,,si es posible echando fuego y aire,,que es un copion,,porque estiramos los ojos para copiar,,que tienes una calceta que esta hecha de plata,,si porque la puedes mandar a hacer,,que una cebolla se fue rodando y llega,,no porque una cebolla se fue rodando si se fue pero se puede atorar con algo,,una gaviota puede volar por si misma,,si ya que las gaviotas si vuelan por sus alas,,que ya es hora de descansar,,si ya que es cuando te dice que te tienes que meter a la cama,,,
359,361,f,no. porque las pelotas no cantan*,,que siempre esta gritando,,la cabeza esta llena de muchos pelos,,que hay muchas pulsera que estan hechas de plata,,son creadas con leche y luego le dan forma,,es como si tuvieras pegado mucho algodon,,es cuando te quedas viendo muy feo a alguien y te arden los ojos,,es cuando te duelen los ojos y te sientes cansado,,cuando van creciendo las flores y hace mucho calor,,cuando hace frio y hacen fiesta,,tener tu pie  hecho de acero,,para cuando no puedes caminar con eso puedes aprender,,que te paras sobre un papel,,puedes pararte sobre el para brincar o jugar,,que hay numeros en un zacate,,con el zacate nos banamos y se pueden mojar las cosas,,que esta caliente el carbon,,si lo pones en una parrilla se calienta mucho,,que saben raros,,los ojos no tienen sabor,,que las calcetas son de plata,,estarian duras y no cabria nuestro pie,,que llegan a ti las cebollas,,no pueden caminar,,que pueden volar las gaviotas,,tienen alas y pueden volar,,que se pone la noche,,que se va el sol y llega la luna,,,
360,362,f,si. porque tenia varios ejemplos,,que tiene muchos granos ***,,cuando te cepillas mucho el cabello. se te quedan pelotas,,que el pasto es una pelota,,son las nubes blancas es leche,,de carne y gerita y otros morenas,,-,,de color diferente,,calor,,ya llego,,es pierna que pesa cero,,porque ninguno pesa cero de su pierna,,que algo se pone sobre el papel,,si se puede poner algo de papel,,es un calendario,,es un calendariado,,carbon caliente,,carbon quema,,tienen ojos muy fuertes,,hay personas que tienen ese color,,una paleta de calcetin,,una paleta de calceta,,fueron por ella,,fue un manado,,pues pue?,,le pueden gritar a las gaviotas,,ya va a ser noche,,porque ? llega la noche,,,
361,363,f,si.porque todos los conocemos,,mi hermano grita mucho,,es una pelota de pelusa porque tiene mucho pelo,,porque es una bola blanca,,es grande y sedoso,,blancos y fuertes y son muchos,,divertida. graciosa y enojona,,grande y llegas a ensenar los dientes,,llega cuando se va el sol y es tan larga,,que llegaran dias mejores que los que pasaron,,estrellas que brillan,,porque brillan mucho en la noche,,vestidos hechos a mano,,porque los hacen ellas con tela,,que no es posible,,porque no son posibles hacerlos,,es hecha con piedra,,porque son construidas para exponerlas,,es alguien frustrado,,es cuando te enojas y no hablas con nadie,,cuando te cubre,,es cuando una banqueta es calientita,,porque esta una silla,,porque estan las sillas para sentarse,,cuando haces ejercicio,,cuando ejercitas tu cuerpo,,cuando no se detiene,,cuando pasa el tiempo rapido,,,
362,364,f,no. porque no rima,,que grita mucho y es muy travieso,,puede ser que haya muchas cosas con pelo o la pelota,,que la pelota es de plata y es muy cara,,hechas de frio congelado son muy frias con leche,,dura. fuerte. grasosa y liquida,,a veces grosera. feliz. caliente,,los ojos son ardientes rojos bonitos,,hace mucho calor vienen las vacaciones,,nos reunimos en familia. hace frio,,que una persona tiene piernas de acero,,porque eso no es posible las piernas de acero,,que algo esta sobre papel,,si porque algo puede estar sobre papel,,no puede haber calendario de zacate,,porque el zacate no es para calendarios es para otro tipo de cosas,,porque el carbon lo echas al fuego y se calienta,,porque el carbon cuando lo pones en el fuego se calienta,,que los ojos se te ponen rojos o amargos,,porque los ojos no se pueden amargar solo se pueden poner rojos,,que puede haber una calceta de plata,,no hay calcetas de plata,,como si una cebolla llegara con alguien,,nunca llega una cebolla tu la compras,,porque las gaviotas vuelan,,porque las aves vuelan los pajaros y las gaviotas,,es cuando se hace de noche,,en todos lados lelga la noche,,,
363,365,f,si. porque todas las pelotas hacen lo que quieren,,que hace mucho berrinche o emocion,,porque tiene mucho pelo. es una pelusa o perrito en cachorro,,es blanca una bola que parece pelota es suave,,cuello alargado. su trompa larga. cabello largo y es grande con cuatro patas,,blancos. algunos son de leche y otros de adulto,,es hermano. grande. muy activo. moreno con cabello castano y lacio,,es con hoyitos grande y algunos dicen que es bonita,,es oscura. estrellas azules y pequenas,,que van a llegar mejores que nunca,,que son muy brillosas,,porque brillan mucho y son hermosas,,vestidos hechos a mano,,porque las personas los hacen bonitos,,no se que son,,porque nunca los he visto o ha salido,,que lo hicieron hace mucho tiempo,,porque esta luego en los museos o libros,,que es muy valiente y fuerte,,porque si se que existen y salieron en otro libro,,es una banqueta que on eso no te da frio,,porque lo vi en un libro,,que esta ahi,,porque yo tengo sillas en mi casa,,que corren por muchos lugares,,porque he vistos a muchos que corren por muchos lugares,,que se te te va rapido,,porque me ha pasado muchas veces,,,
364,366,f,no. porque no se le entiende a la frase pelota,,mi hermano grita mucho o simplemente llora mucho*,,un perro o la barba de mi papa,,NS,,lacio. resistente y lindo de muchos colores como el negro. cafe y como amarillo,,fuertes y un poco grandes,,dulce. carinosa. insoportable. y un poco gritona,,es como la felicidad,,salio el dia y la noche se oculto,,que con el paso del tiempo vendran los dias mejores,,que las estrellas son brillantes como un cristal,,las estrellas igual brilla como un cristal,,que hay vestidos de tela,,que ha vestidos de tela y de diferentes colores,,nada,,no existen zapatos de miel tal vez si pero en color,,que puedes hacerlas,,si porque hay muchas esculturas con piedra,,nada,,el alma no es de hierro,,que la banqueta te protege,,las banquetas te protegen de accidentes,,nada,,las sillas no llegan. estan,,los atletas hacen mucho ejercicio,,si porque hacen mucho ejercicio entre esos hay el correr,,que hay mucho tiempo,,que hay mucho tiempo para hacer muchas cosas,,,
365,367,f,"no. porque es obvio que ninguna ""pelota canta""",,que su hermano esta gordito y grita mucho,,un animal grande redondo pelos,,pelota de color plata,,es,,son blancos y duros,,es alta. bonita. etc,,encantadora sonrisa bonita,,fui al cine a ver una pelicula y comi pizza en mi casa,,que algo te sale mal y una persona te dice eso,,estrellas de como de vidrio,,porque no es posible porque se romperian facilmente el cristal,,que hay vestidos solamente de tela,,que si se puede porque hay personas que si los hacen de tela,,por serian imposibles de hacerlos,,porque serian pegajosos los zapatos de miel,,hacer una figura con piedra,,si es posible por que mucha gente ha logrado hacerla,,que no tienen alma,,bueno que su alma esta dura,,0,,no le entendi a la frase,,que ya llego,,ya llego una silla y si es posible,,0,,no se que son atletas,,que hay tiempo,,que hay tiempo para todo,,,
366,368,f,no. porque las pelotas no cantan*,,al decir pelota puede que sea que brinca mucho y grita,,WW,,WW,,cabello enredado y grueso,,dientes muy limpios,,es muy buena,,es una sonrisa bonita,,la noche ya paso,,que el tiempo mejorara los momentos,,0,,0,,es ropa hecha con tela,,si es posible porque practicamente la ropa esta hecha con tela,,calzado hecho de un alimento,,no es posible porque se derretiria con el sol y no se podria hacer la figura de zapato,,es un objeto o un personaje hecho de piedra,,si es posible por que las esculturas estan hechas de piedra,,alma de un material fuerte,,no es posible porque no pueden meter un material a tu alma,,banqueta que calienta,,no es posible porque las banquetas estan hechas de cemento y el cemento es frio,,0,,0,,que una persona corre,,si es posible porque los ateltas practicamente eso hacen. corren,,el tiempo alcanza para hacer algo,,si es posible si lo haces con tiempo.,,,
367,369,f,si. porque cada vez que rebota su mama quiere cantar,,porque no le gusta que rebote la pelota,,es una almohada,,como si fuera algo que tu quisieras o una pelota pintada de plata,,son blancas y creo que esponjositas,,que esta suavecita,,que cuando alguien esta enojado con alguien,,son que volteas los ojos para un lado y para el otro,,ocurre que es el ano que mas disfrutan,,que tenemos que estar listos y que nos gusta,,que son demasiado fuertes,,porque no es posible si son muuuy fuertes,,cuando dobla el papel,,porque lo hemos hecho,,porque seria muy dificil,,porque no se podrian hacer los numeros y el remarco si,,cuando pones a calentarlo en fuego,,porque mi tio le pone al carbon a la comida cuando hace elotes,,no quieres hacer nada,,porque yo de repente lo hago,,una calceta que no esta comoda,,porque no ba a estar comoda,,a hacernos llorar,,porque nosotros usamos el comercio,,porque no tienen practica,,no las entrenan o no se,,que cuando se hace de noche,,si no como nos dormimos.,,,
368,370,f,no. porque las pelotas no cantan*,,que su hermano grita mucho*,,algo peludo. porque tiene mucho pelo,,algo que sea muy brillante,,blancas= como la leche,,suave= como la seda,,fuerte=ardiente,,fuertes=amargos,,que no esta siempre,,que es temporada navidena,,las piernas son fuertes,,porque pueden ser muy fuertes,,sobre hecho de papel,,se utilizan en las cartas,,NS,,no existen,,el carbon esta caliente,,el carbon se calienta con el fuego,,que son fuertes,,son una mirada fuerte,,NN,,calceta gris,,que hay cebollas,,puedes tener una cebolla,,son aves,,porque tienen alas,,cambia,,puede ser noche y dia,,,
369,371,f,no.porque mi mama puede cantar. pero no todo el tiempo,,que llora de todo porque es muy pequeno,,arbol porque tiene muchas hojas y es redondo,,no existe. pero si es poema tendras que apropiarte del tema. la luna es redonda y color entre blanco y plata bajo.,,"""no existe"". pero como las nubes son blancas. entonces es una forma de decir",,"""no existe"". pero es una forma de decir: bonita. suave. etc",,"""no existe"". pero es una forma de decir enojada con los ojos = ",,"""no existe"" pero es una forma de decir: ojos feos",,"""si puede ser."" porque no nada mas se mantiene en una estacion",,"""si se puede"" es cuando festejas una costumbre. es decir. que es hoy o manana",,acero convertido en piernas,,no. porque es una frase sustentando la palabra de fuerte,,sobre el papel puede haber un objeto,,si porque es una palabra real que puedes usar para dar origen a un objeto,,no lo habia escuchado,,no. no lo habia escuchado,,es cuando el carbon esta caliente o a temperatura alta,,si porque ardiente se refiere a caliente es una forma de decirlo,,darle un significado de ojos feos,,no porque es una frase como sustentar el significado de ojos feos,,no existen. es algo inexistente,,no porque no existe. pero se refiere a calceta limpia. bonita,,no existe una cebolla que llegue,,no porque las cebollas no tienen pies,,si existen,,es un animal de la naturaleza que vuela en el cielo,,si es una forma de decir,,es una forma de decir que ya no esta el sol se va y llega la luna y ahora es noche,,,
370,372,f,no.porque esta en sentido figurado,,mi hermanito grita mucho,,mi perro. esta lleno de pelos,,las nubes de la tierra se parecen a una pelota de plata,,blancas,,suave,,enojada,,tristes,,se aproxima,,estamos en la epoca navidena,,piernas fuertes,,no es posible porque no es real,,sobre hecho de papel,,si existen los sobres fabricados de papel,,calendario hecho de zacate,,no porque estaria muy fragil,,carbon caliente,,si porque el carbon se calienta y arde,,mirada agria,,no es posible tener mirada amarga,,calceta hecha de plata,,no es posible fabricar una calceta de plata,,la cebolla llego al mercado,,si es posible que llegue al mercado,,las gaviotas vuelan,,si es posible que las gaviotas vuelen,,ya es de noche,,si es posible que llegue la noche,,,
371,373,f,si. porque su mama canta mucho y la describio como una pelota,,porque reganan mucho los hemanos,,perro porque esta lleno de pelos,,las espadas porque  son de plata,,blancas,,suave y sensible cuando se corta,,es clara,,circulares,,todo el mundo se divierte,,que llego la fecha de navidad,,piernas que levantan cosas pesadas,,porque hay personas que pueden levantar mucho peso con sus piernas,,sobres de papel,,porque la gente la usa para meter cartas,,calendario zacateca,,porque existe el calendario zacateca,,carbon que se quema,,porque solo le ponemos flama y se enciende,,ojos no agradables,,porque los ojos tal vez vean algo que no les agrade,,calceta sucia,,porque no existen las calcetas de plata,,una cebolla recien comprada,,porque la compraron recien,,que las gaviotas tienen plumas,,porque vuelan por sus plumas,,la noche viene,,porque la noche cae despues del dia,,,
372,374,f,no. porque es una pelota cualquiera,,su hermano grita mucho*,,tu cabeza,,la luna es una pelota de plata,,son de color blanco,,es muy suave. de cualquier color,,es una mirada de enojo,,los ojos amargos son llorosos,,salimos de vacaciones,,que llega santa,,piernas resisitibles a todo,,porque eso pasaria si fuera unsuperheroe,,es una hoja,,si porque puedes recibir una carta,,es un calendario,,si porque lo puedes comprar,,es negro sirve para calentar,,si porque lo puedes comprar para calentar comida,,tus ojos,,si porque puedes llorar,,una calceta de plata,,no porque no existen ,,si la cebolla llega,,si porque la cebolla es un vegetal,,si vuelan,,si porque tienen alas,,si la noche llega,,si la una sale igual que las estrellas,,,
373,375,f,no.porque no todo es una pelota,,mi hermano grita mucho*,,perro porque se hacen bolita y tienen pelo,,que la luna se ve de plata porque es gris,,blancas. noesta comodas,,color blanca. suave y blanda,,sensible y buena,,bonitos y oscuros,,que hace calor,,que ya es navidad,,que no puedes tener piernas de acero,,no es posible porque no podrias caminar porque el acero es pesado,,que es un papel transformado en sobre,,es posible porque lo vas transformado,,que solo puede ser de madera o papel,,no es posible porque el zacate no duraria tanto y se romperia,,porque el carbon se calienta para la parrilla,,si es posible porque el carbon es una piedra que se puede calentar,,que los ojos no se pueden comer,,no es posible porque los ojos se ven no se comen,,que la calceta es de tela,,no es posible porque la calceta se cose,,que la cebolla no camina,,no es posible porque la cebolla se compra no llega caminando,,que las gaviotas tienen alas,,las gaviotas tienen alas,,que el sol se esconde y llega la noche,,si es posible porque cuando esta oscuro la noche llega,,,
374,376,f,no. porque no tiene sentido alguno,,es porque siempre grita,,gatos tienen mucho pelo,,porque la mente vale mucho,,blancas,,suave,,muy hermosa,,de colores,,viene,,que ya viene navidad,,piernas fuertes,,porque no existe nadie con piernas asi,,un sobre hecho de papel,,porque yo hice uno,,un calendario hecho con zacate,,porque no se puede,,carbon ardiendo,,porque con eso calientan el fogon,,ojos fuertes,,no hay ojos amargos,,calceta hecha con plata,,no hay calcetas de plata,,temporada de cebolla,,la cebolla no camina,,que las gaviotas pueden volar,,que vuelan por sus brazos,,que la luna ya llego,,cuando el dia se va. la noche llega,,,
375,377,f,si. porque una mama puede cantar con una pelota,,que su hermano grita mucho,,el gato porque a los gatos les gustan las bolas de estambre,,el una persona puede ser el,,blancas con formas. parecen almohadas,,es suave y sedosa,,una mirada que no te la quitan de encima o ardiente,,ojos muy extranos,,las vacaciones se acercan ,,la navidad ya va a llegar,,un material hecho por acero,,porque una persona no puede tener piernas de acero,,un papel del bano,,un sobre puede ser de hojas pero de papel no,,un zacate convertido en calendario,,tal vez puede ser que un zacate sea convertido en calendario,,es el carbon prendido,,es un material hecho que se puede encender,,algo amargo,,porque unos ojos no pueden ser amargos,,un trabajo hecho de plata,,una calceta no puede ser hecha de plata,,una cebolla caminando,,no es posible que una cebolla venga caminando,,un pajaro volando,,que las gaviotas si pueden volar,,que ya va a anoches,,que la noche llegara pronto en unas horas,,,
376,378,f,no. porque las pelotas no tienen boca,,mi hermano grita mucho*,,perro porque esta muy peludo,,la luna porque es redonda y muy hermosa,,las nubes son blancas y grandes,,la piel es suave y muy blanda,,la mirada es aquella que fijas a un objeto o persona,,los ojos son un sentido de la vista son blancos con pupilas,,en el verano hay vacaciones en las escuelas y en los dias esta muy asoleado,,cuando es noviembre y ya esta cerca el mes de navidad,,que una persona no tiene piernas de carne y hueso,,porque hay personas con discapacidades y no tienen piernas y usan de acero,,una pieza de papel,,si es posible porque son muy facil de conseguir,,conjunto de papeles onde estan los meses del ano,,si es posible porque es para saber el mes ano y dia en el que estamos,,mineral en forma de piedra,,si es posible porque el carbon lo usamos en la cocina y puede calentarse mucho,,que alguien te ve con una mirada furiosa,,es posible porque hay veces que alguien se enoja y te ve asi,,porque cuando hacen la calceta usan hilo de plata,,porque cuando hacen la calceta usan hilo de plata,,que compran cebolla y llega,,si porque cuando compran cebolla la cebolla llega,,que los pajaros vuelan,,si porque todos los pajaros vuelan,,porque cuando son las 8:00 la noche llega,,cuando se hace la tarde sigue la noche,,,
377,379,f,si. porque tu mama canta bonito,,que grita mucho,,los gatos,,que es muy duro,,son blancas y esponjosas,,es como cuero,,es como mirar las cosas y las personas,,viscosos y llenos de agua,,cuando es vacaciones o cuando hace calor,,decir cosas divertidas o hermosas,,tener las piernas bien duras,,porque puedes hacer mucho ejercicio,,hacer una carta,,por que,,esta hecho de pasto,,porque se te deshace pronto y no existe,,carbon caliente,,por que,,que te duela mucho el ojo,,porque con la cebolla cunado la partes lloras,,que sean de hierro,,porque no existen,,que te traigan la cebolla,,porque te la transportan en camiones,,que estan volando,,porque les permite viajar o migrar,,que esta oscuro,,porque el mundo da vueltas,,,
378,380,f,si. porque es una persona gordita que canta,,su hermano es griton*,,los pelosque se caen forman pelota de pelos porque a las mujeres se nos cae el pelo,,el hierro es como la plata,,blandas y blancas,,seca o nutrida y unica,,intimidante o tierna,,con los que ves,,llegan las vacaciones,,que las vacaciones llegaron los regalos y noche buena,,que las piernas estan hechas de acero,,porque los robots son de acero,,es una hoja que doblas y queda un sobre,,porque mucha gente lo utiliza,,es como un calendario artesano,,porque algunas personas indigenas viven de eso,,un carbon que esta encendido,,porque el carbon lo usan para calentar y se queda ardiente,,una mirada de enojo,,porque la gente se enoja,,unos calcetines plateados,,porque casi todos los calcetines son plateados,,cuando traen la cebolla de la fruteria,,porque con eso hacen de comer,,las gaviotas vuelan cuando cazan,,porque para comer,,cuando las horas pasan,,porque las personas tienen que descansar,,,
379,381,f,no. porque las pelotas no hablan*,,que su hermanito tiene guardado muchos gritos,,mi mama porque tiene mucho pelo,,la pelota de plata es muy especial,,del color de la leche,,sedosa y suave igual que la seda,,ardiente,,amargos,,que el verano se esta acercando,,que llega la navidad,,que las piernas son de acero,,porque agunas personas tienen protesis,,que el sobre esta hecho de papel,,hay sobres de carta hechos de papel,,que el calendario es de zacate,,porque no hay calendarios de zacate,,que el carbon esta muy caliente,,el carbon cuando esta encendido y lo tocas te puedes quemar,,NS,,no. porque es metafora,,que la calceta es de plata,,no existe,,la cebolla llega,,la cebolla no puede llegar sola,,que vuelan los pajaros,,todos los pajaros vuelan,,siempre llega la noche,,cuando se acaba el dia llega la noche,,,
380,382,f,no. porque las pelotas no cantan*,,mi hermano grita mucho*,,perro porque tiene mucho pelo,,mi amiga porque vale mucho,,de espuma,,suave y dura en otras partes. pegada a nuestro cuerpo,,fija,,redondos y brillantes,,son vacaciones,,que hoy o proximamente es navidad,,que los pies son muy duros,,puede ser que si,,envoltura delgada,,claro que si,,calendario duro,,yo creo que no,,fuego,,si cuando prenden lumbre,,ojos duros,,obviamente que no,,algo valioso,,si,,algo duro viene,,no,,ave libre,,si,,oscuridad,,si,,,
381,383,f,no. porque su mama es un ser vivo y no un material,,que su hermano grita mucho,,gatos porque hay gatos que parecen una bola de pelos,,puede ser que la pelota sea de ese color o que sea eso metaforicamente,,son una especie de gas que se propaga en el cielo,,hay muchos tipos de pieles especificamente,,es uno de los factores del sentido de la vista,,son una parte esencial de nuestro cuerpo,,las hojas salen,,que ha llegado una epoca del ano,,que es un pie metalico,,porque hay personas que no tienen pies o si que les ponen uno de,,que hay un objeto sobre la hoja de papel,,porque hay objetos que el papel puede aguantar,,que es un calendario de piel,,pues porque lo pueden hacer de zacate,,que esta caliente el carbon,,porque lo puedes quemar,,NS,,NS,,puede  ser una calceta de color plata,,porque puede ser su color,,no puede,,no porque no tiene piernas,,porque es normal,,porque es normal para ellas,,es como si se hiciera de noche,,si porque oscurece,,,
